DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
205835.38,892,43.07481,-89.393712,10919,23.37,0,EB State ns Gilman,505,13.69,0,41.17,0,0,0,"[-89.39370596858704, 43.07480205730026]"
640533.99,196,43.074888,-89.395895,10920,106.08,0,WB State fs Frances,506,60.08,0,128.11,0,0,0,"[-89.39588896856449, 43.0748800576114]"
133320.83,727,43.070038,-89.390899,10921,9.67,0,WB Washington fs Bassett,512,6.0,0,26.66,0,0,0,"[-89.39089297059729, 43.07003005753614]"
24129.28,59,43.066758,-89.395762,10922,5.33,0,Washington fs Regent,516,1.67,0,4.83,0,0,0,"[-89.39575596858518, 43.06675005819415]"
267051.21,676,43.057308,-89.39899,10923,18.37,0,Park fs Fish Hatchery,519,12.69,0,53.41,0,0,0,"[-89.39898396904317, 43.057300060243016]"
37822.94,58,43.068608,-89.388929,10924,4.07,0,SB Bassett ns Doty,520,1.33,0,7.56,0,0,0,"[-89.38892297023186, 43.06860005794213]"
21950.06,101,43.052513,-89.381287,10925,0.33,0,WB Olin fs Expo,522,0.0,0,4.39,0,0,0,"[-89.38128097419444, 43.05250505977247]"
11151.72,357,43.051775,-89.399231,10926,1.0,0,SB Fish Hatchery ns Appleton,530,1.0,0,2.23,0,0,0,"[-89.39922496941031, 43.051767061579575]"
1037691.38,751,43.075201,-89.412309,10927,12.67,0,WB Linden ns Babcock,532,16.36,0,207.54,0,0,0,"[-89.41230296314313, 43.07519305840213]"
393080.32,62,43.067784,-89.413501,10928,71.0,0,EB Regent fs Breese,533,54.99,0,78.62,0,0,0,"[-89.41349496374626, 43.06777605971203]"
5571.35,658,43.050533,-89.399882,10929,0.0,0,SB Fish Hatchery ns Wingra,536,0.0,0,1.11,0,0,0,"[-89.39987596970522, 43.05052506121841]"
1031686.08,194,43.07278,-89.400736,10930,59.17,0,SB Park fs University,538,55.28,0,206.34,0,0,0,"[-89.40072996725148, 43.07277205757009]"
183902.47,420,43.07317,-89.413972,10931,0.0,0,SB Breese fs University,542,0.0,0,36.78,0,0,0,"[-89.41396596357409, 43.07316205871384]"
0.0,975,43.069246,-89.386223,10932,0.0,0,Broom ns Wilson,544,0.0,0,0.0,0,0,0,"[-89.3862169711468, 43.069238057267114]"
122222.88,710,43.06736,-89.401102,10933,8.02,0,Park fs Regent,546,7.08,0,24.44,0,0,0,"[-89.40109596753918, 43.06735205892614]"
394615.34,711,43.067818,-89.404379,10934,23.79,0,WB Regent fs Mills,548,15.4,0,78.92,0,0,0,"[-89.40437296637693, 43.06781005861525]"
227658.25,749,43.074784,-89.392088,10935,22.04,0,EB State ns Gorham,549,15.36,0,45.53,0,0,0,"[-89.39208196982054, 43.07477605663368]"
1667.42,725,43.069776,-89.393793,10936,1.02,0,SB Bedford ns Mifflin,558,0.0,0,0.33,0,0,0,"[-89.39378696965372, 43.069768057760236]"
40846.39,730,43.070794,-89.400718,10937,8.33,0,NB Park ns Dayton,561,3.01,0,8.17,0,0,0,"[-89.40071196757961, 43.07078605809782]"
141393.53,896,43.070796,-89.383911,10938,0.0,0,WB Wilson ns Hamilton,564,0.0,0,28.28,0,0,0,"[-89.38390497217955, 43.07078805752398]"
73166.86,103,43.041353,-89.38417,10939,6.68,0,Rusk fs Nygard,565,4.38,0,14.63,0,0,0,"[-89.38416397458755, 43.04134506245969]"
66135.69,760,43.075933,-89.388251,10940,0.0,0,EB Johnson ns Carroll,567,0.0,0,13.23,0,0,0,"[-89.38824497020202, 43.0759250561886]"
6502515.08,198,43.073288,-89.396135,10941,366.06,0,WB University fs Frances,568,272.44,0,1300.5,0,0,0,"[-89.39612896830931, 43.07328005784475]"
0.0,358,43.051996,-89.390897,10942,0.0,0,Gilson ns Cedar,570,0.0,0,0.0,0,0,0,"[-89.39089097191534, 43.05198806067232]"
1814030.77,81,43.075084,-89.410286,10943,19.02,0,EB Linden ns Henry,573,6.81,0,362.81,0,0,0,"[-89.41027996405313, 43.0750760580095]"
3871994.23,192,43.072095,-89.406013,10944,151.9,0,EB Johnson ns Charter,581,111.32,0,774.4,0,0,0,"[-89.40600696539677, 43.07208705845552]"
14561.85,217,43.047021,-89.394211,10945,1.33,0,Park at Park House,582,1.33,0,2.91,0,0,0,"[-89.39420497130887, 43.047013061808876]"
219497.84,712,43.067722,-89.407559,10946,34.0,0,EB Regent ns Orchard,583,24.12,0,43.9,0,0,0,"[-89.40755296581538, 43.067714058934094]"
166834.92,316,43.038553,-89.397555,10947,12.05,0,WB Badger fs Cypress,590,12.01,0,33.37,0,0,0,"[-89.39754897189775, 43.038545063301676]"
1161163.32,738,43.073066,-89.391033,10948,6.44,0,NB Broom fs Dayton,593,1.67,0,232.23,0,0,0,"[-89.3910269697548, 43.07305805681105]"
47244.76,768,43.077548,-89.385973,10949,15.68,0,EB Johnson ns Pinckney,597,1.0,0,9.45,0,0,0,"[-89.38596697072805, 43.07754005598643]"
19698.77,365,43.054033,-89.39,10950,3.01,0,WB Olin fs Gilson,602,1.69,0,3.94,0,0,0,"[-89.38999397234011, 43.054025059866326]"
